id,name,matchedName,resultType,confidence,similarity,lat,lng,address,status
r277,"Cheesy Sensation - Halal Pizza, Pasta, Wings and Sandwiches",Juju's Wings And Daiquiri,amenity,0.107,0.4,32.7950639,-96.7762388,"Juju's Wings And Daiquiri, 4111 Gaston Avenue, Dallas, TX 75246, United States of America",review
r297,Cafe de Khan - Murphy,Cafe de France,amenity,0.106,0.667,32.989135,-96.801713,"Cafe de France, Dallas, TX 75252, United States of America",review
r331,51 Rainbow Indian Grill & Momo House | Event Hall,51 Jadewaters Grill & Bar,amenity,0.096,0.5,32.79957,-96.83246,"51 Jadewaters Grill & Bar, Dallas, TX 75207, United States of America",review
r223,Sugar - Sweets & Gelato,Epic Gelato & Coffee,amenity,0.09,0.333,32.9944762,-97.0645942,"Epic Gelato & Coffee, Lakeside Parkway, Flower Mound, TX 75028, United States of America",review
r23,Burger Vault - Keller,Burger King,amenity,0.086,0.5,32.933727,-97.3122919,"Burger King, 3101 Golden Triangle Boulevard, Fort Worth, TX 76244, United States of America",review
r323,Dona Mary - Antojitos Mexicanos,Dona Lencha,amenity,0.072,0.5,32.8351323,-96.9759557,"Dona Lencha, 1900 North Story Road, Irving, TX 75061, United States of America",review
r351,Mexican Kitchen & Ice Cream - Halal,Tastee Ice,amenity,0.072,0.5,32.7366645,-96.995288,"Tastee Ice, 829 South Belt Line Road, Grand Prairie, TX 75051, United States of America",review
r76,Smokey Flavor BBQ & Burgers (EVERYTHING HALAL),Wayback Burgers,amenity,0.064,0.5,32.8966855,-96.9393321,"Wayback Burgers, 6421 Riverside Drive, Irving, TX 75039, United States of America",review
r256,Salma's Pizza Pasta Wings (halal pizza),Cici’s Pizza,amenity,0.039,0.667,32.7630648,-96.8986477,"Cici’s Pizza, Dallas Fort Worth Turnpike, Dallas, TX 75211, United States of America",review
r154,Shah's Halal Food - Irving,Halal Import Food Market,amenity,0.016,0.5,32.7092935,-97.0989873,"Halal Import Food Market, 701 Pioneer Parkway, Arlington, TX 76010, United States of America",review
r504,Red Hot - Indo-Chinese & Indian Kitchen,Red Hot Indo Chinese & Indian Kitchen,amenity,0.012,1,32.9429372,-96.7432742,"Red Hot Indo Chinese & Indian Kitchen, 744 South Central Expressway, Richardson, TX 75080, United States of America",review
r2,Bird & Beast,Petra and the Beast,amenity,0,0.5,32.792118,-96.775073,"Petra and the Beast, Dallas, TX 75246, United States of America",review
r3,Doner Point,Blanton Point,street,0,0.5,32.853223,-96.732515,"Blanton Point, Dallas, TX 75214, United States of America",review
r4,Baur&Co Burgers - Food Truck,Wayback Burgers,amenity,0,0.5,32.8966855,-96.9393321,"Wayback Burgers, 6421 Riverside Drive, Irving, TX 75039, United States of America",review
r6,DECCAN MORSELS,Deccan Spice,amenity,0,0.5,33.0119147,-97.2188891,"Deccan Spice, 1224 North US Highway 377, Roanoke, TX 76262, United States of America",review
r11,Chino-Mex,Chino Drive,street,0,0.5,32.992493,-97.369684,"Chino Drive, Fort Worth, TX 76052, United States of America",review
r12,Robo Shawarma,Shawarma Press,amenity,0,0.5,32.7872417,-96.798571,"Shawarma Press, Ross Avenue, Dallas, TX 75201, United States of America",review
r13,Olive Roots Mediterranean Cuisine,Olive Garden,amenity,0,0.5,32.862704,-96.895816,"Olive Garden, 10280 East Technology Boulevard, Dallas, TX 75220, United States of America",review
r14,Salam Grill (Albaghdady),Pressbox Grill,amenity,0,0.5,32.7816508,-96.7974139,"Pressbox Grill, 1623 Main Street, Dallas, TX 75201, United States of America",review
r15,Ehab Mediterranean Buffet,Dimassi's Mediterranean Buffet,amenity,0,0.667,32.8152028,-96.6294016,"Dimassi's Mediterranean Buffet, 3700 Towne Crossing Boulevard, Mesquite, TX 75150, United States of America",review
